Recurso,Usado,Disponible,Porcentaje
"Slice LUTs",12328,63400,19.44
"LUT as Logic",10990,63400,17.33
"LUT as Memory",1338,19000,7.04
"Slice Registers",12859,126800,10.14
"Register as Flip Flop",12844,126800,10.13
"Register as Latch",0,126800,0.00
"Register as AND/OR",15,126800,0.01
"F7 Muxes",237,31700,0.75
"F8 Muxes",137,15850,0.86
"Slice",4769,15850,30.09
"LUT as Logic",10990,63400,17.33
"LUT as Memory",1338,19000,7.04
"Slice Registers",12859,126800,10.14
"Unique Control Sets",711,15850,4.49
"Block RAM Tile",86,135,63.70
"RAMB36/FIFO*",86,135,63.70
"RAMB18",0,270,0.00
"DSPs",1,240,0.42
"Bonded IOB",95,210,45.24
"Bonded IPADs",0,2,0.00
"PHY_CONTROL",1,6,16.67
"PHASER_REF",1,6,16.67
"OUT_FIFO",4,24,16.67
"IN_FIFO",2,24,8.33
"IDELAYCTRL",1,6,16.67
"IBUFDS",0,202,0.00
"PHASER_OUT/PHASER_OUT_PHY",4,24,16.67
"PHASER_IN/PHASER_IN_PHY",2,24,8.33
"IDELAYE2/IDELAYE2_FINEDELAY",16,300,5.33
"ILOGIC",20,210,9.52
"OLOGIC",47,210,22.38
"BUFGCTRL",9,32,28.13
"BUFIO",0,24,0.00
"MMCME2_ADV",2,6,33.33
"PLLE2_ADV",1,6,16.67
"BUFMRCE",0,12,0.00
"BUFHCE",1,96,1.04
"BUFR",0,24,0.00
"BSCANE2",1,4,25.00
"CAPTUREE2",0,1,0.00
"DNA_PORT",0,1,0.00
"EFUSE_USR",0,1,0.00
"FRAME_ECCE2",0,1,0.00
"ICAPE2",0,2,0.00
"PCIE_2_1",0,1,0.00
"STARTUPE2",0,1,0.00
"XADC",1,1,100.00
